Symbol,Company_Name,Face_Value,Year_End,O.S. Shares,Registrar
LUCK,Lucky Cement Limited,10,Jun,"323,375,000",CDC Share Registrar Services Limited
MLCF,Maple Leaf Cement Factory Limited,10,Jun,"1,098,346,232",Vision Consulting Limited
PIOC,Pioneer Cement Limited,10,Jun,"227,148,793",Corplink (Pvt.) Limited
POWER,Power Cement Limited,10,Jun,"1,063,414,434",CDC Share Registrar Services Limited
POWERPS,Power Cement PREF,10,Jun,"244,585,320",
SMCPL,Safe Mix Concrete Limited,10,Jun,"25,000,000",THK Associates (Pvt.) Limited
THCCL,Thatta Cement Company Limited,10,Jun,"99,718,125",THK Associates (Pvt.) Limited
ZELP,Zeal Pak Cement Factory Limited,10,Jun,"427,838,526",Your Secretary (Pvt.) Limited
AGL,Agritech Limited,10,Dec,"392,430,000",Hameed Majeed Associates (Pvt.) Limited
AGLNCPS,Agritech Limited Non-voting Class (Pref Shares),10,Jun,"159,334,269",Hameed Majeed Associates (Pvt.) Limited
ARPL,Archroma Pakistan Limited,10,Sep,"34,118,229",FAMCO Associates (Pvt.) Limited
BAPL,Bawany Air Product Limited,10,Jun,"7,502,510",C & K Management Associates (Pvt.) Limited
BERG,Berger Paints Pakistan Limited,10,Jun,"20,459,710",Corplink (Pvt.) Limited
BIFO,Biafo Industries Limited,10,Jun,"38,332,800",Riasat Ishtiaq Consulting (Pvt.) Limited
BUXL,Buxly Paints Limited,10,Jun,"1,440,000",THK Associates (Pvt.) Limited
COLG,Colgate Palmolive (Pakistan) Limited,10,Jun,"63,300,512",FAMCO Associates (Pvt.) Limited
DAAG,Data Agro Limited,10,Jun,"4,000,000",Hameed Majeed Associates (Pvt.) Limited
DOL,Descon Oxychem Limited,10,Jun,"175,031,084",Corplink (Pvt.) Limited
DYNO,Dynea Pakistan Limited,5,Jun,"18,872,400",FAMCO Associates (Pvt.) Limited
EPCLPS,Engro Poly(PREF),10,Jun,"300,000,000",
EPCL,Engro Polymer and Chemicals Limited,10,Dec,"908,923,333",FAMCO Associates (Pvt.) Limited
GGL,Ghani Global Holdings Ltd,10,Jun,"279,936,435",Vision Consulting Limited
ICI,ICI Pakistan Ltd,10,Jun,"92,359,050",FAMCO Associates (Pvt.) Limited
ICL,Ittehad Chemical Limited,10,Jun,"84,700,000",Corplink (Pvt.) Limited
LPGL,Leiner Pak Gelatine Limited,10,Jun,"7,500,000",Corplink (Pvt.) Limited
LOTCHEM,Lotte Chemical Pakistan Limited,10,Dec,"1,514,207,200",FAMCO Associates (Pvt.) Limited
NICL,Nimir Industrial Chemicals Limited,10,Jun,"110,590,546",Corplink (Pvt.) Limited
NRSL,Nimir Resins Limited,5,Jun,"141,321,100",Corplink (Pvt.) Limited
PAKOXY,Pakistan Oxygen Limited,10,Dec,"46,872,446",CDC Share Registrar Services Limited
PPVC,Pakistan PVC Limited,10,Jun,"14,958,000",Corplink (Pvt.) Limited
SARC,Sardar Chemical Industries Limited,10,Jun,"6,000,000",Corplink (Pvt.) Limited
SHCI,Shaffi Chemical Industries Limited,10,Jun,"12,000,000",Corplink (Pvt.) Limited
SITC,Sitara Chemical Industries Limited,10,Jun,"21,429,524",THK Associates (Pvt.) Limited
SPL,Sitara Peroxide Limited,10,Jun,"55,100,000",THK Associates (Pvt.) Limited
WAHN,Wah Noble Chemicals Limited,10,Jun,"9,000,000",Ilyas Saeed Associates (Pvt.) Limited
ABL,Allied Bank Limited,10,Dec,"1,145,073,830",CDC Share Registrar Services Limited
AKBL,Askari Bank Limited,10,Dec,"1,260,260,180",CDC Share Registrar Services Limited
BAFL,Bank Al-Falah Limited,10,Dec,"1,777,165,119",F.D. Registrar Services (SMC-Pvt.) Limited
BAHL,Bank Al-Habib Limited,10,Dec,"1,111,425,419",CDC Share Registrar Services Limited
BOK,Bank Of Khyber Limited,10,Dec,"1,050,389,726",THK Associates (Pvt.) Limited
BOP,Bank Of Punjab Limited,10,Dec,"2,643,692,380",Corplink (Pvt.) Limited
BIPL,Bankislami Pakistan Limited,10,Dec,"1,108,703,299",CDC Share Registrar Services Limited
FABL,Faysal Bank Limited,10,Dec,"1,517,696,526",CDC Share Registrar Services Limited
HBL,Habib Bank Limited,10,Dec,"1,466,852,508",CDC Share Registrar Services Limited
HMB,Habib Metropolitan Bank Limited,10,Dec,"1,047,831,480",CDC Share Registrar Services Limited
JSBL,JS Bank Limited,10,Dec,"1,297,464,262",CDC Share Registrar Services Limited
MCB,MCB Bank Limited,10,Dec,"1,185,060,006",THK Associates (Pvt.) Limited
MEBL,Meezan Bank Limited,10,Dec,"1,414,722,747",THK Associates (Pvt.) Limited
NBP,National Bank Of Pakistan,10,Dec,"2,127,512,862",CDC Share Registrar Services Limited
SBL,Samba Bank Limited,10,Dec,"1,008,238,648",FAMCO Associates (Pvt.) Limited
SILK,Silkbank Limited,10,Dec,"9,081,861,237",CDC Share Registrar Services Limited
SNBL,Soneri Bank Limited,10,Dec,"1,102,463,503",THK Associates (Pvt.) Limited
SCBPL,Standard Chartered Bank Limited,10,Dec,"3,871,585,021",THK Associates (Pvt.) Limited
SMBL,Summit Bank Limited,10,Dec,"2,638,151,060",THK Associates (Pvt.) Limited
UBL,United Bank Limited,10,Dec,"1,224,179,688",THK Associates (Pvt.) Limited
ADOS,Ados Pakistan Limited,10,Jun,"6,582,600",JWAFFS Registrar Services (Pvt.) Limited
AGHA,Agha Steel Indunstries Limited,10,Jun,"576,075,293",CDC Share Registrar Services Limited
ASL,Aisha Steel Mills Limited,10,Jun,"765,529,303",CDC Share Registrar Services Limited
ASLPS,Aisha Steel Mills Limited (Preference Shares),10,Jun,"44,357,057",CDC Share Registrar Services Limited
ASLCPS,Aisha Steel Mills Ltd(Con.Cum.Pref.Share,10,Jun,"2,870,083",
ASTL,Amreli Steels Ltd.,10,Jun,"297,011,427",THK Associates (Pvt.) Limited
BCL,Bolan Casting Limited,10,Jun,"11,472,529",CDC Share Registrar Services Limited
CSAP,Crescent Steel & Allied Products Limited,10,Jun,"77,632,491",Corptec Associates (Pvt.) Limited
DADX,Dadex Eternit Limited,10,Jun,"10,764,000",JWAFFS Registrar Services (Pvt.) Limited
DSL,Dost Steels Limited,10,Jun,"315,733,860",THK Associates (Pvt.) Limited
DKL,Drekkar Kingsway Limited,10,Jun,"10,000,000",F.D. Registrar Services (SMC-Pvt.) Limited
HSPI,Huffaz Seamless Pipe Industries Limited,10,Jun,"55,484,300",THK Associates (Pvt.) Limited
INIL,International Industries Limited,10,Jun,"131,881,860",THK Associates (Pvt.) Limited
ISL,International Steels Limited,10,Jun,"435,000,000",THK Associates (Pvt.) Limited
ITTEFAQ,Ittefaq Iron Industries Limited,10,Jun,"144,343,364",Corplink (Pvt.) Limited
KSBP,K.S.B. Pumps Co. Limited,10,Dec,"13,200,000",CDC Share Registrar Services Limited
MSCL,Metropolitan Steel Corporation Limited,10,Jun,"30,977,500",F.D. Registrar Services (SMC-Pvt.) Limited
MUGHAL,Mughal Iron and Steel Industries Limited,10,Jun,"291,855,594",THK Associates (Pvt.) Limited
PECO,Pakistan Engineering Company Limited,10,Jun,"5,690,200",CDC Share Registrar Services Limited
QUSW,Quality Steel Works Limited,10,Jun,"1,771,800",F.D. Registrar Services (SMC-Pvt.) Limited
AHCL,Arif Habib Corporation Limited,10,Jun,"408,375,000",CDC Share Registrar Services Limited
ENGRO,Engro Corporation Limited,10,Dec,"576,163,230",FAMCO Associates (Pvt.) Limited
EFERT,Engro Fertilizers Limited,10,Dec,"1,335,299,375",FAMCO Associates (Pvt.) Limited
FATIMA,Fatima Fertilizer Company Limited,10,Dec,"2,100,000,000",CDC Share Registrar Services Limited
FFBL,Fauji Fertilizer Bin Qasim Limited,10,Dec,"1,291,252,857",Corplink (Pvt.) Limited
FFC,Fauji Fertilizer Company Limited,10,Dec,"1,272,238,147",CDC Share Registrar Services Limited
ASC,Al-Shaheer Corporation Limited,10,Jun,"299,938,830",CDC Share Registrar Services Limited
PREMA,At-Tahur Limited,10,Jun,"177,467,070",Corplink (Pvt.) Limited
BNL,Bunny's Limited,10,Jun,"66,805,269",F.D. Registrar Services (SMC-Pvt.) Limited
CLOV,Clover Pakistan Limited,10,Jun,"31,143,059",FAMCO Associates (Pvt.) Limited
FFL,Fauji Foods Limited,10,Dec,"803,293,563",Corplink (Pvt.) Limited
FCEPL,Frieslandcampins Engro Foods Limited,10,Dec,"766,596,075",FAMCO Associates (Pvt.) Limited
GLPL,Gillette Pakistan Limited,10,Jun,"31,872,000",FAMCO Associates (Pvt.) Limited
GIL,Goodluck Industries Limited,10,Jun,"300,000",C & K Management Associates (Pvt.) Limited
ISIL,Ismail Industries Limited,10,Jun,"66,356,940",THK Associates (Pvt.) Limited
MFL,Matco Foods Limited,10,Jun,"122,400,698",CDC Share Registrar Services Limited
MFFL,Mitchells Fruit Farms Limited,10,Sep,"22,875,000",Corplink (Pvt.) Limited
MUREB,Murree Brewery Company Limited,10,Jun,"27,663,631",CDC Share Registrar Services Limited
NATF,National Foods Limited,5,Jun,"186,492,343",CDC Share Registrar Services Limited
NESTLE,Nestle Pakistan Limited,10,Dec,"45,349,551",CDC Share Registrar Services Limited
NMFL,Nirala MSR Foods Limited,10,Jun,"16,589,500",Corptec Associates (Pvt.) Limited
QUICE,Quice Food Limited,10,Jun,"98,461,828",F.D. Registrar Services (SMC-Pvt.) Limited
RMPL,Rafhan Maize Products Limited,10,Dec,"9,236,400",FAMCO Associates (Pvt.) Limited
SHEZ,Shezan International Limited,10,Jun,"8,784,600",Corplink (Pvt.) Limited
SCL,Shield Corporation Limited,10,Jun,"3,900,000",CDC Share Registrar Services Limited
TOMCL,The Organic Meat Company Limited,10,Jun,"111,817,777",F.D. Registrar Services (SMC-Pvt.) Limited
TREET,Treet Corporation Limited,10,Jun,"174,834,322",Corplink (Pvt.) Limited
UPFL,Unilever Pakistan Foods Limited,10,Dec,"6,369,932",CDC Share Registrar Services Limited
UNITY,Unity Foods Limited,10,Jun,"994,050,000",F.D. Registrar Services (SMC-Pvt.) Limited
ZIL,ZIL Limited,10,Dec,"6,122,600",THK Associates (Pvt.) Limited
BGL,Baluchistan Glass Limited,10,Jun,"261,600,000",Corplink (Pvt.) Limited
FRCL,Frontier Ceramics Limited,10,Jun,"37,873,821",CDC Share Registrar Services Limited
GHGL,Ghani Glass Limited,10,Jun,"839,391,132",Corplink (Pvt.) Limited
GGGL,Ghani Global Glass Limited,10,Jun,"240,000,000",Vision Consulting Limited
GVGL,Ghani Value Glass Limited,10,Jun,"58,031,273",Corplink (Pvt.) Limited
KCL,Karam Ceramics Limited,10,Jun,"14,549,060",THK Associates (Pvt.) Limited
REGAL,Regal Ceramics Limited,10,Jun,"7,300,000",
STCL,Shabbir Tiles and Ceramics Limited,5,Jun,"239,320,620",CDC Share Registrar Services Limited
TGL,Tariq Glass Industries Limited,10,Jun,"137,733,750",Shemas International (Pvt.) Limited
AICL,Adamjee Insurance Company Limited,10,Dec,"350,000,000",CDC Share Registrar Services Limited
ASIC,Asia Insurance Company Limited,10,Dec,"66,371,130",Corplink (Pvt.) Limited
AGIC,Askari General Inusrance Company Limited,10,Dec,"71,901,898",THK Associates (Pvt.) Limited
ALAC,Askari Life Assurance Company Limited,10,Dec,"150,172,014",THK Associates (Pvt.) Limited
ATIL,Atlas Insurance Limited,10,Dec,"84,895,279",Hameed Majeed Associates (Pvt.) Limited
BIIC,Business & Industrial Insurance Company,10,Dec,"8,554,376",
CENI,Century Insurance Company Limited,10,Dec,"50,296,803",FAMCO Associates (Pvt.) Limited
CSIL,Crescent Star Insurance Company Limited,10,Dec,"107,695,041",F.D. Registrar Services (SMC-Pvt.) Limited
CYAN,Cyan Limited,10,Dec,"61,558,963",CDC Share Registrar Services Limited
EFUG,EFU General Insurance Limited,10,Dec,"200,000,000",CDC Share Registrar Services Limited
EFUL,EFU Life Assurance Limited,10,Dec,"100,000,001",CDC Share Registrar Services Limited
EWIC,East West Insurance Company Limited,10,Dec,"118,335,819",THK Associates (Pvt.) Limited
HICL,Habib Insurance Company Limited,5,Dec,"123,874,755",CDC Share Registrar Services Limited
IGIHL,IGI Holdings Limited,10,Dec,"142,630,550",FAMCO Associates (Pvt.) Limited
IGIL,IGI Life Insurance Company Limited,10,Dec,"170,567,200",FAMCO Associates (Pvt.) Limited
JGICL,Jubilee General Insurance Company Limited,10,Dec,"198,491,379",THK Associates (Pvt.) Limited
JLICL,Jubilee Life Insurance Company Limited,10,Dec,"87,263,748",CDC Share Registrar Services Limited
PIL,PICIC Insurance Limited,10,Dec,"35,000,000",F.D. Registrar Services (SMC-Pvt.) Limited
PKGI,Pakistan General Insurance Company Limited,10,Dec,"46,401,450",Corplink (Pvt.) Limited
PAKRI,Pakistan Reinsurance Company Limited,10,Dec,"300,000,000",CDC Share Registrar Services Limited
PINL,Premier Insurance Limited,5,Dec,"50,565,105",FAMCO Associates (Pvt.) Limited
PRIC,Progressive Insurance Company Limited,10,Dec,"8,500,000",F.D. Registrar Services (SMC-Pvt.) Limited
RICL,Reliance Insurance Company Limited,10,Dec,"60,351,880",C & K Management Associates (Pvt.) Limited
SHNI,Shaheen Insurance Company Limited,10,Dec,"60,000,000",Corplink (Pvt.) Limited
SSIC,Silver Star Insurance Co. Limited,10,Dec,"30,564,844",
SICL,Standard Insurance Company Limited,10,Dec,"750,000",
TPLI,TPL Insurance Limited,10,Dec,"117,191,261",THK Associates (Pvt.) Limited
UNIC,United Insurance Company of Pakistan Limited,10,Dec,"295,000,044",F.D. Registrar Services (SMC-Pvt.) Limited
UVIC,Universal Insurance Company Limited,10,Dec,"50,000,000",Hameed Majeed Associates (Pvt.) Limited
786,786 Investment Limited,10,Jun,"14,973,750",F.D. Registrar Services (SMC-Pvt.) Limited
AMSL,Al-Mal Securities & Services Limited,10,Jun,"5,000,000",
AMBL,Apna Microfinance Bank Limited,10,Dec,"428,984,962",F.D. Registrar Services (SMC-Pvt.) Limited
AHL,Arif Habib Limited,10,Jun,"59,400,000",CDC Share Registrar Services Limited
BIPLS,BIPL Securities Limited,10,Dec,"100,000,000",THK Associates (Pvt.) Limited
CASH,Calcorp Limited,10,Jun,"10,744,413",
DEL,Dawood Equities Limited,10,Jun,"25,000,000",F.D. Registrar Services (SMC-Pvt.) Limited
DAWH,Dawood Hercules Corporation Limited,10,Dec,"481,287,116",FAMCO Associates (Pvt.) Limited
DLL,Dawood Lawrancepur Limited,10,Dec,"59,299,809",CDC Share Registrar Services Limited
EFGH,EFG Hermes Pakistan Limited,10,Dec,"20,015,650",F.D. Registrar Services (SMC-Pvt.) Limited
ESBL,Escorts Investment Bank Limited,10,Jun,"135,600,000",Hameed Majeed Associates (Pvt.) Limited
FCEL,First Capital Equites Limited,10,Jun,"141,335,500",Corplink (Pvt.) Limited
FCSC,First Capital Securites Corporation Limited,10,Jun,"316,610,115",Corplink (Pvt.) Limited
FCIBL,First Credit & Invest Bank Limited,10,Jun,"65,000,000",THK Associates (Pvt.) Limited
FDIBL,First Dawood Investment Bank Limited,10,Jun,"148,390,023",F.D. Registrar Services (SMC-Pvt.) Limited
FNEL,First National Equities Limited,10,Jun,"267,286,331",Corptec Associates (Pvt.) Limited
IML,Imperial Mills Limited,10,Jun,"99,020,000",Hameed Majeed Associates (Pvt.) Limited
ICIBL,Invest Capital Investment Bank Limited,10,Jun,"284,866,896",Corptec Associates (Pvt.) Limited
JSGCL,JS Global Capital Limited,10,Dec,"27,477,297",CDC Share Registrar Services Limited
JSIL,JS Investments Limited,10,Dec,"61,774,256",CDC Share Registrar Services Limited
JSCLPSA,Jahangir Sidd(PREF),10,Jun,"183,188,477",
JSCL,Jahangir Siddiqui Company Limited,10,Dec,"915,942,388",CDC Share Registrar Services Limited
MCBAH,MCB-ARIF Habib Savings & Investments Ltd,10,Jun,"72,000,000",CDC Share Registrar Services Limited
NEXT,Next Capital Limited,10,Jun,"49,500,000",FAMCO Associates (Pvt.) Limited
PSX,Pakistan Stock Exchange Limited,10,Jun,"801,476,600",FAMCO Associates (Pvt.) Limited
PASL,Pervez Ahmed Consultancy Services Limited,10,Jun,"186,568,487",THK Associates (Pvt.) Limited
PDGH,Prudential Discount Guarantee House Limited,10,Jun,"10,000,000",
PRIB,Prudential Investment Bank Limited,10,Jun,"10,000,000",
SIBL,Security Investment Bank Limited,10,Dec,"51,433,559",C & K Management Associates (Pvt.) Limited
TRIBL,Trust Investment Bank Limited,10,Jun,"119,885,111",Vision Consulting Limited
TSBL,Trust Securities and Brokerage Limited,10,Jun,"30,000,000",Hameed Majeed Associates (Pvt.) Limited
ENGL,English Leasing Limited,10,Jun,"8,000,000",C & K Management Associates (Pvt.) Limited
GRYL,Grays Leasing Limited,10,Jun,"21,500,000",Corptec Associates (Pvt.) Limited
OLPL,Orix Leasing Pakistan Limited,10,Jun,"175,407,648",FAMCO Associates (Pvt.) Limited
PGLC,Pak Gulf Leasing Company Limited,10,Jun,"25,369,800",THK Associates (Pvt.) Limited
PICL,Pakistan Industrial and Commercial Leasing Limited,10,Jun,"39,398,933",
SLL,SME Leasing Limited,10,Dec,"32,000,000",Corptec Associates (Pvt.) Limited
SPLC,Saudi Pak Leasing Company Limited,10,Jun,"45,160,500",CDC Share Registrar Services Limited
SLCL,Security Leasing Corporation Limited,10,Jun,"36,300,000",F.D. Registrar Services (SMC-Pvt.) Limited
SLCPA,Security Leasing Corporation Limited - 9.1% Preference Shares,10,Jun,"11,250,000",F.D. Registrar Services (SMC-Pvt.) Limited
BATA,Bata Pakistan Limited,10,Dec,"7,560,000",Corplink (Pvt.) Limited
FIL,Fateh Industries Limited.,10,Jun,"2,000,000",F.D. Registrar Services (SMC-Pvt.) Limited
LEUL,Leather Up Industries Limited,10,Jun,"6,000,000",C & K Management Associates (Pvt.) Limited
PAKL,Pak Leather Crafts Limited,10,Jun,"3,400,000",NI Associates (Pvt.) Limited
SGF,Service GlobalFootwear Limited,10,Jun,"204,437,500",
SRVI,Service Industries Limited,10,Dec,"46,987,500",Corplink (Pvt.) Limited
AKDHL,AKD Hospitality Limited,10,Jun,"2,507,273",
AKGL,Al-Khair Gadoon Limited,10,Jun,"10,000,000",Shemas International (Pvt.) Limited
ARPAK,Arpak International Investment Limited,10,Jun,"4,000,000",Hameed Majeed Associates (Pvt.) Limited
DCTL,Dadabhoy Construction Technology Limited,10,Jun,"2,322,800",F.D. Registrar Services (SMC-Pvt.) Limited
DIIL,Diamond Industries Limited,10,Jun,"9,000,000",Corplink (Pvt.) Limited
ECOP,Ecopack Limited,10,Jun,"38,148,948",THK Associates (Pvt.) Limited
GOC,GOC (Pak) Limited.,10,Jun,"7,348,950",Corptec Associates (Pvt.) Limited
GAMON,Gammon Pakistan Limited,10,Jun,"28,266,231",Management & Registration Services (Pvt.) Limited
HACC,Hashmi Can Company Limited,10,Jun,"1,633,500",
HADC,Haydary Construction Company Limited,5,Jun,"6,400,000",THK Associates (Pvt.) Limited
MACFL,Macpac Films Limited,10,Jun,"59,301,150",CDC Share Registrar Services Limited
MWMP,Mandviwala Mauser Plastic Industries Limited,10,Jun,"28,748,133",THK Associates (Pvt.) Limited
OML,Olympia Mills Limited,10,Jun,"12,000,000",C & K Management Associates (Pvt.) Limited
PACE,Pace (Pakistan) Limited,10,Jun,"278,876,604",Corplink (Pvt.) Limited
PABC,Pakistan Aluminium Beverage Cans Limited,10,Jun,"361,108,254",
PHDL,Pakistan Hotels Developers Limited,10,Jun,"18,000,000",F.D. Registrar Services (SMC-Pvt.) Limited
PSEL,Pakistan Services Limited,10,Jun,"32,524,250",THK Associates (Pvt.) Limited
SHFA,Shifa International Hospitals Limited,10,Jun,"61,974,886",Corplink (Pvt.) Limited
STPL,Siddiqsons Tin Plate Limited,10,Jun,"229,278,733",THK Associates (Pvt.) Limited
SPEL,Synthetic Products Enterprises Limited,10,Jun,"92,470,378",THK Associates (Pvt.) Limited
TPLP,TPL Properties Limited,10,Jun,"327,393,105",THK Associates (Pvt.) Limited
TRIPF,Tri-Pack Films Limited,10,Dec,"38,800,000",FAMCO Associates (Pvt.) Limited
UBDL,United Brands Limited,10,Jun,"91,800,000",CDC Share Registrar Services Limited
UDPL,United Distributors Pakistan Limited,10,Jun,"35,271,134",CDC Share Registrar Services Limited
ARM,Allied Rental Modarba,10,Jun,"220,000,000",JWAFFS Registrar Services (Pvt.) Limited
AWWAL,Awwal Modaraba,10,Jun,"100,000,000",THK Associates (Pvt.) Limited
BFMOD,B.F. Modaraba,10,Jun,"7,515,158",C & K Management Associates (Pvt.) Limited
BRR,B.R.R. Guardian Modaraba,10,Jun,"94,998,489",F.D. Registrar Services (SMC-Pvt.) Limited
FANM,First Al-Noor Modarba,10,Jun,"21,000,000",FAMCO Associates (Pvt.) Limited
FCONM,First Constellation Modaraba,10,Jun,"6,462,500",
FECM,First Elite Capital Modaraba,10,Jun,"11,340,000",Corptec Associates (Pvt.) Limited
FEM,First Equity Modarba,10,Jun,"52,440,000",THK Associates (Pvt.) Limited
FFLM,First Fidelity Leasing Modaraba,10,Jun,"26,413,804",Corptec Associates (Pvt.) Limited
FHAM,First Habib Modarba Limited,5,Jun,"201,600,000",CDC Share Registrar Services Limited
FIBLM,First IBL Modaraba,10,Jun,"21,687,500",Corptec Associates (Pvt.) Limited
FIMM,First Imrooz Modaraba Limited,10,Jun,"3,000,000",F.D. Registrar Services (SMC-Pvt.) Limited
FIM,First Investec Modaraba,10,Jun,"3,000,000",Your Secretary (Pvt.) Limited
FNBM,First National Bank Modarba,10,Jun,"25,000,000",Hameed Majeed Associates (Pvt.) Limited
PAKMI,First Pakistan Modarba,10,Jun,"12,540,000",THK Associates (Pvt.) Limited
FPRM,First Paramount Modaraba,10,Jun,"13,788,418",THK Associates (Pvt.) Limited
PMI,First Prudential Modarba,10,Jun,"87,217,660",C & K Management Associates (Pvt.) Limited
FPJM,First Punjab Modarba,10,Jun,"34,020,000",Hameed Majeed Associates (Pvt.) Limited
FTMM,First Treet Manufacturing Modarba,10,Jun,"699,999,994",Corplink (Pvt.) Limited
FTSM,First Tri-Star Modarba,10,Jun,"21,163,104",Hameed Majeed Associates (Pvt.) Limited
FUDLM,First UDL Modarba,10,Jun,"35,120,564",CDC Share Registrar Services Limited
HMM,Habib Metro Modaraba,10,Jun,"30,000,000",CDC Share Registrar Services Limited
KASBM,KASB Modaraba,10,Jun,"48,066,480",C & K Management Associates (Pvt.) Limited
MODAM,Modaraba Al - Mali,10,Jun,"18,423,945",JWAFFS Registrar Services (Pvt.) Limited
ORM,Orient Rental Mod,10,Jun,"75,000,000",CDC Share Registrar Services Limited
ORIXM,Orix Modaraba,10,Jun,"45,383,530",FAMCO Associates (Pvt.) Limited
PIM,Popular Islamic Modaraba,10,Jun,"10,000,000",CDC Share Registrar Services Limited
SINDM,Sindh Modaraba,10,Jun,"45,000,000",F.D. Registrar Services (SMC-Pvt.) Limited
TRSM,Trust Modarba,10,Jun,"29,800,000",Hameed Majeed Associates (Pvt.) Limited
UCAPM,UNICAP Modarba,10,Jun,"23,640,000",
MARI,Mari Petroleum Company Limited,10,Jun,"133,402,500",Corplink (Pvt.) Limited
OGDC,Oil and Gas Development Co Ltd,10,Jun,"4,300,928,400",CDC Share Registrar Services Limited
POL,Pakistan Oilfields Limited,10,Jun,"283,855,104",Self Handled
PPL,Pakistan Petroleum Limited,10,Jun,"2,720,967,548",FAMCO Associates (Pvt.) Limited
APL,Attock Petroleum Limited,10,Jun,"99,532,800",CDC Share Registrar Services Limited
